City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Shimoda,JP,83.14,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
155,Kanigoro,ID,82.51,clear sky,-8.13,112.219,Musafer Villa ( Villa Erlin )
157,Qinzhou,CN,83.95,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
158,Atambua,ID,82.35,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
159,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
166,Dakar,SN,77.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
169,Parrita,CR,83.26,light rain,9.5201,-84.3225,Beso del Viento
171,Riyadh,SA,93.11,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
174,Pangkalanbuun,ID,84.54,light rain,-2.6833,111.6167,Grand Kecubung Hotel
175,Salinas,US,79.23,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
177,Tautira,PF,84.22,clear sky,-17.7333,-149.15,Pension Oaoa
178,Somerset,US,77.05,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
182,Ocos,GT,83.32,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
183,La Asuncion,VE,78.6,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
186,Cockburn Town,TC,81.88,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
187,Ujjain,IN,76.6,light rain,23.1833,75.7667,SPOT ON 69320 Hotel New Neha Palace
188,Macau,MO,87.78,light rain,22.2006,113.5461,Grand Emperor Hotel
